"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","33pF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C2,C5","2","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C3,C4","2","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"J1","1","Conn_Coaxial","","","","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal",""
"J2","1","Conn_01x08","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"J4,J5","2","Conn_01x20","","","","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical",""
"Q1","1","2N3906","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
"Q2","1","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R1","1","33k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2,R4,R5","3","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3","1","47R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"SW1,SW2,SW3,SW4","4","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm",""
